Date,生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,刈込平均(上下10%）
1971/3/1,6.3,6.2,6.1,5.865454545
1971/6/1,7.6,7.6,7.7,6.947272727
1971/9/1,7,7.1,6.7,7.230909091
1971/12/1,5.5,5.7,5.7,4.972727273
1972/3/1,5.7,6,6,4.894545455
1972/6/1,4.9,5.1,5.1,4.190909091
1972/9/1,4.8,5.1,5.6,3.967272727
1972/12/1,6,6.3,6.2,5.12
1973/3/1,8.5,8.8,7.9,7.761818182
1973/6/1,10.9,11.1,10.7,9.669090909
1973/9/1,13.4,13.7,13.1,13.32909091
1973/12/1,17.6,17.4,16.1,19.69272727
1974/3/1,21.7,21.8,19.9,24.14363636
1974/6/1,22.3,21.5,19.1,24.50545455
1974/9/1,22.2,21.2,18.5,23.90363636
1974/12/1,21.1,20.6,17.3,21.25454545
1975/3/1,14.7,13.8,11.6,13.87272727
1975/6/1,12.7,13,11.7,11.90363636
1975/9/1,11.3,11.5,9.7,8.287272727
1975/12/1,7.4,7.9,8,5.936363636
1976/3/1,8.4,8.7,9.4,6.982142857
1976/6/1,8.8,9.4,10,8.573214286
1976/9/1,9,8.9,9.9,9.417857143
1976/12/1,10.6,10.3,12.1,9.930357143
1977/3/1,8.8,8.6,9.7,9.363157895
1977/6/1,8.6,8.2,9,7.40877193
1977/9/1,7.6,7.9,8.6,5.850877193
1977/12/1,5.7,6.1,5.8,4.359649123
1978/3/1,5.7,6,6.4,4.250877193
1978/6/1,4.3,4.9,5.1,3.149122807
1978/9/1,3.8,4.3,5.2,3.626315789
1978/12/1,3.4,4.2,5.5,3.575438596
1979/3/1,2.9,3.5,4.6,2.305263158
1979/6/1,3.6,3.4,4.4,3.505263158
1979/9/1,4.1,3.4,4.2,3.175438596
1979/12/1,4.9,3.6,4.3,4.877192982
1980/3/1,6.2,4.6,5,6.233333333
1980/6/1,8.5,6.5,7.3,7.438596491
1980/9/1,8,6.6,7.2,8.026315789
1980/12/1,7.8,6.7,6.9,7.235087719
1981/3/1,6.3,5.6,5.6,5.698214286
1981/6/1,4.3,4.5,4.5,4.433928571
1981/9/1,4.2,4.2,4.2,3.876785714
1981/12/1,4,3.9,3.9,3.8375
1982/3/1,3.5,3.3,3.5,3.025
1982/6/1,2.9,2.9,2.9,2.367857143
1982/9/1,2.7,2.8,3,2.751785714
1982/12/1,2.5,2.5,2.8,2.133928571
1983/3/1,2.3,2.4,2.5,2.251785714
1983/6/1,1.8,2.2,2.4,1.971428571
1983/9/1,1.6,2,2.2,1.194642857
1983/12/1,1.6,2.3,2.5,1.857142857
1984/3/1,2,2.5,2.5,1.935714286
1984/6/1,2.1,2.4,2.6,1.685714286
1984/9/1,2.2,2.4,2.4,1.901785714
1984/12/1,2.3,2.4,2.8,2.180357143
1985/3/1,2.3,2.5,3,1.932142857
1985/6/1,2,2.4,2.8,2.1625
1985/9/1,1.8,2.4,2.9,1.625
1985/12/1,1.5,2.4,2.7,1.710714286
1986/3/1,1.4,1.7,1.9,1.215789474
1986/6/1,0.8,1.7,2,0.810526316
1986/9/1,0.5,1.5,1.9,0.749122807
1986/12/1,0.1,1.4,1.7,0.254385965
1987/3/1,0,1.2,1.8,0.068421053
1987/6/1,0.3,0.8,1.4,0.414035088
1987/9/1,0.5,0.8,1.4,0.6
1987/12/1,0.6,0.7,1.3,0.51754386
1988/3/1,0.4,0.6,1.1,0.270175439
1988/6/1,0.3,0.7,1,0.226315789
1988/9/1,0.4,0.7,1,0.631578947
1988/12/1,0.7,1,1.3,0.815789474
1989/3/1,1.1,1.3,1.5,0.887719298
1989/6/1,2.9,3,2.8,2.964912281
1989/9/1,2.9,3.2,3,2.545614035
1989/12/1,2.9,3.1,2.8,2.824561404
1990/3/1,3.1,3.2,2.9,3.410526316
1990/6/1,2,2,2.4,1.887719298
1990/9/1,2.5,2.4,2.5,2.657894737
1990/12/1,3.3,2.9,2.7,3.321052632
1991/3/1,3.1,3,2.6,3.475438596
1991/6/1,3.1,3.1,2.6,3.30877193
1991/9/1,2.8,2.8,2.6,2.629824561
1991/12/1,2.3,2.8,2.6,2.564912281
1992/3/1,2.3,2.6,2.7,1.903508772
1992/6/1,2.5,2.7,2.9,2.026315789
1992/9/1,2.2,2.4,2.4,1.921052632
1992/12/1,2,2.1,2.3,1.322807018
1993/3/1,1.6,1.7,1.5,1.21754386
1993/6/1,1.2,1.3,1.2,0.903508772
1993/9/1,1.1,1.2,1.4,0.896491228
1993/12/1,0.8,0.9,0.9,0.540350877
1994/3/1,0.9,1.1,0.9,0.703508772
1994/6/1,0.8,1,0.9,-0.145614035
1994/9/1,0.6,0.7,0.8,0.126315789
1994/12/1,0.5,0.6,0.9,0.370175439
1995/3/1,0.1,0.2,0.8,-0.221052632
1995/6/1,-0.2,-0.1,0.6,0.235087719
1995/9/1,0.2,0.3,0.8,0.057894737
1995/12/1,0.1,0.3,0.6,-0.189473684
1996/3/1,0,0.3,0.5,-0.00877193
1996/6/1,0.2,0.4,0.6,0.1
1996/9/1,0.2,0.4,0.3,0.133333333
1996/12/1,0.3,0.4,0.3,0.728070175
1997/3/1,0.5,0.4,0.5,0.498245614
1997/6/1,2,1.9,1.6,2.177192982
1997/9/1,2.4,2.3,2.3,2.264912281
1997/12/1,2.2,2.2,2.4,1.771929825
1998/3/1,1.8,2.1,2.1,1.856140351
1998/6/1,0,0.4,0.6,0.124561404
1998/9/1,-0.5,-0.1,-0.1,-0.122807018
1998/12/1,-0.3,0,-0.1,0.045614035
1999/3/1,-0.1,0.1,-0.2,-0.264912281
1999/6/1,0,0.1,0,-0.205263158
1999/9/1,0,0.1,-0.2,-0.292982456
1999/12/1,-0.1,-0.1,-0.3,-0.473684211
