Date,tau,pi_ast,D,y_e,pi_e
1983/3/1,2.3,0.01,0,-0.019581865,0.01
1983/6/1,1.8,0.01,0,-0.016215101,0.026930388
1983/9/1,1.6,0.01,0,-0.013825669,-0.184596878
1983/12/1,1.6,0.01,0,-0.008734665,-0.483314928
1984/3/1,2,0.01,0,-0.004598718,-0.352219088
1984/6/1,2.1,0.01,0,-0.003518744,-0.203582971
1984/9/1,2.2,0.01,0,-0.001403626,-0.315029702
1984/12/1,2.3,0.01,0,0.003936766,-0.736164864
1985/3/1,2.3,0.01,0,0.004107347,-0.568810133
1985/6/1,2,0.01,0,0.002127155,-0.304049071
1985/9/1,1.8,0.01,0,-0.001917703,-0.404200204
1985/12/1,1.5,0.01,0,-0.004142999,-0.448200471
1986/3/1,1.4,0.01,0,-0.003671819,-0.872488503
1986/6/1,0.8,0.01,0,-0.010488377,-0.789339264
1986/9/1,0.5,0.01,0,-0.011550663,-0.364921104
1986/12/1,0.1,0.01,0,-0.012011969,-0.129208141
1987/3/1,0,0.01,0,-0.013382528,-0.06669096
1987/6/1,0.3,0.01,0,-0.013632965,-0.258637394
1987/9/1,0.5,0.01,0,-0.004837849,-0.489451764
1987/12/1,0.6,0.01,0,0.006212654,-0.318022318
1988/3/1,0.4,0.01,0,0.01261489,0.148646681
1988/6/1,0.3,0.01,0,0.012590812,0.138363736
1988/9/1,0.4,0.01,0,0.015221929,0.586298616
1988/12/1,0.7,0.01,0,0.019382691,0.353954155
1989/3/1,1.1,0.01,0,0.025415846,0.623125475
1989/6/1,2.9,0.01,0,0.025301319,0.959540514
1989/9/1,2.9,0.01,0,0.026432814,0.512648828
1989/12/1,2.9,0.01,0,0.032252954,0.392789919
1990/3/1,3.1,0.01,0,0.03801,0.819859086
1990/6/1,2,0.01,0,0.03954737,1.043474649
1990/9/1,2.5,0.01,0,0.042633931,1.383257509
1990/12/1,3.3,0.01,0,0.047252919,0.972292744
1991/3/1,3.1,0.01,0,0.047183525,0.70210152
1991/6/1,3.1,0.01,0,0.04475948,0.423383266
1991/9/1,2.8,0.01,0,0.040848028,0.243233111
1991/12/1,2.3,0.01,0,0.034834619,0.714686799
1992/3/1,2.3,0.01,0,0.030660095,0.845860638
1992/6/1,2.5,0.01,0,0.019840437,1.31588619
1992/9/1,2.2,0.01,0,0.013150166,1.296012306
1992/12/1,2,0.01,0,0.005515077,1.568544941
1993/3/1,1.6,0.01,0,-0.001899861,1.768706902
1993/6/1,1.2,0.01,0,-0.005305843,1.728430702
1993/9/1,1.1,0.01,0,-0.007687754,1.500715953
1993/12/1,0.8,0.01,0,-0.012318259,1.340298476
1994/3/1,0.9,0.01,0,-0.017578001,1.111117017
1994/6/1,0.8,0.01,0,-0.011222306,0.870006577
1994/9/1,0.6,0.01,0,-0.010423734,0.954218863
1994/12/1,0.5,0.01,0,-0.007496851,1.262527664
1995/3/1,0.1,0.01,0,-0.005476159,1.008407888
1995/6/1,-0.2,0.01,0,-0.004316724,0.71342474
1995/9/1,0.2,0.01,0,-0.006484715,1.122765291
1995/12/1,0.1,0.01,0,-0.000215592,1.547658512
1996/3/1,0,0.01,0,2.11E-03,1.624641387
1996/6/1,0.2,0.01,0,0.004665773,1.389125227
1996/9/1,0.2,0.01,0,0.008782843,1.312158884
1996/12/1,0.3,0.01,0,0.011532605,1.227683436
1997/3/1,0.5,0.01,0,0.017813921,1.047536337
1997/6/1,2,0.01,0,0.014250487,1.430323307
1997/9/1,2.4,0.01,0,0.011057594,1.287255678
1997/12/1,2.2,0.01,0,0.005694663,0.985667762
1998/3/1,1.8,0.01,0,-0.000818792,0.826372366
1998/6/1,0,0.01,0,-0.008630345,0.857016411
1998/9/1,-0.5,0.01,0,-0.016182177,0.717046908
1998/12/1,-0.3,0.01,0,-0.020384916,0.742005407
